,entry,top year,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
94,94,2010,95,The Wanted,All Time Low,2010-01-01,0.69,0.617,-5.022,0.052,0.35,0.0,0.0789,0.787,134.023,8,0,205200,55.0,pop
95,95,2010,96,The Saturdays,Higher,2010-01-01,0.639,0.862,-3.292,0.0341,0.049,6.81e-06,0.264,0.596,117.011,10,1,207613,54.0,pop
96,96,2010,97,Ellie Goulding,Starry Eyed,2010-01-01,0.504,0.814,-5.346,0.0389,0.135,1.42e-05,0.324,0.596,149.967,5,0,176613,54.0,pop
97,97,2010,98,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010-02-09,0.544,0.781,-3.616,0.189,0.014,0.0,0.161,0.277,150.1,10,1,232507,51.0,hip hop
98,98,2010,99,Tim Berg,Bromance - Avicii's Radio Edit,2010-08-04,0.681,0.804,-8.901,0.041,0.199,0.899,0.149,0.0377,126.016,1,0,218616,51.0,dance
99,99,2010,100,Kris Allen,Live Like We're Dying,2009-11-16,0.589,0.893,-2.948,0.0397,0.0273,0.0,0.343,0.94,92.011,0,1,212507,51.0,pop
100,100,2011,1,Adele,Rolling in the Deep,2011-01-24,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,8,1,228093,78.0,r&b
101,101,2011,2,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,11,0,201160,70.0,pop
102,102,2011,3,LMFAO,Party Rock Anthem,2011-01-01,0.75,0.727,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993,5,0,262173,67.0,pop
103,103,2011,4,Katy Perry,Firework,2010-01-01,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,8,1,227893,69.0,pop
104,104,2011,5,Bruno Mars,Grenade,2010-10-05,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,2,0,222091,76.0,pop
105,105,2011,6,Miguel,Sure Thing,2010-11-26,0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,11,0,195373,91.0,pop
106,106,2011,7,Coldplay,Paradise,2011-10-24,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,5,1,278719,82.0,pop
107,107,2011,8,Foster The People,Pumped Up Kicks,2011-05-23,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,5,0,239600,81.0,indie
108,108,2011,9,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",2011-06-17,0.671,0.939,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,8,1,252307,80.0,pop
109,109,2011,10,Selena Gomez & The Scene,Love You Like A Love Song,2011-01-01,0.858,0.678,-3.87,0.0469,0.0761,0.0,0.0741,0.922,117.009,1,0,188453,80.0,pop
110,110,2011,11,Rihanna,S&M,2010-01-01,0.769,0.684,-5.019,0.0411,0.0105,0.000125,0.0887,0.835,127.972,1,1,243600,80.0,pop
111,111,2011,12,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2011-11-11,0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99,9,1,210960,80.0,pop
112,112,2011,13,Adele,Set Fire to the Rain,2011-01-24,0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,2,0,242974,79.0,r&b
113,113,2011,14,Christina Perri,A Thousand Years,2011-10-18,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,10,1,285120,78.0,pop
114,114,2011,15,Kanye West,All Of The Lights,2010-11-22,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,1,1,299613,77.0,hip hop
115,115,2011,16,Jennifer Lopez,On The Floor,2011-01-01,0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130.0,3,0,284867,77.0,pop
116,116,2011,17,Rihanna,We Found Love,2011-11-19,0.735,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985,1,1,215227,79.0,pop
117,117,2011,18,Nicki Minaj,Super Bass,2010-11-22,0.723,0.86,-4.357,0.203,0.271,4.56e-06,0.598,0.667,126.979,11,1,200013,77.0,pop
118,118,2011,19,GROUPLOVE,Tongue Tied,2011-09-02,0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,3,1,218013,76.0,pop
119,119,2011,20,P!nk,Raise Your Glass,2010-10-05,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,7,1,202960,76.0,pop
120,120,2011,21,Adele,Someone Like You,2011-01-24,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,135.187,9,1,285240,78.0,r&b
121,121,2011,22,The Wanted,Glad You Came,2011-01-01,0.722,0.851,-3.873,0.0639,0.0319,0.0,0.108,0.452,126.885,7,0,197936,76.0,pop
122,122,2011,23,Selena Gomez & The Scene,Who Says,2011-01-01,0.682,0.927,-2.915,0.0479,0.0843,0.0,0.149,0.744,101.019,4,1,195613,75.0,pop
123,123,2011,24,Drake,Headlines,2011-11-15,0.636,0.566,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894,6,0,235987,75.0,hip hop
124,124,2011,25,Black Eyed Peas,Just Can’t Get Enough,2010-01-01,0.659,0.628,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,0,0,219427,75.0,pop
125,125,2011,26,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010-10-01,0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497,1,1,263773,74.0,hip hop
126,126,2011,27,Wiz Khalifa,Black and Yellow,2011-03-29,0.684,0.834,-4.524,0.0675,0.0646,0.0,0.271,0.538,164.02,2,0,217667,74.0,pop
127,127,2011,28,Rihanna,What's My Name?,2010-01-01,0.689,0.784,-2.972,0.074,0.182,0.0,0.0843,0.561,99.954,2,1,263173,74.0,pop
128,128,2011,29,Beyoncé,Love On Top,2011-06-24,0.652,0.749,-5.248,0.0886,0.0848,0.0,0.604,0.651,94.103,0,1,267413,73.0,pop
129,129,2011,30,Bruno Mars,Marry You,2010-10-05,0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,10,1,230192,73.0,pop
130,130,2011,31,Katy Perry,Last Friday Night (T.G.I.F.),2012-03-12,0.649,0.815,-3.796,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,3,0,230747,73.0,pop
131,131,2011,32,Jeremih,Down On Me,2010-01-01,0.7,0.598,-7.783,0.114,0.0369,0.0,0.111,0.594,160.041,2,1,228453,73.0,hip hop
132,132,2011,33,Ed Sheeran,The A Team,2011-09-09,0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,9,1,258373,73.0,pop
133,133,2011,34,Avril Lavigne,What the Hell,2011-03-08,0.578,0.926,-3.689,0.0548,0.00472,0.0127,0.14,0.877,149.976,6,0,220707,72.0,pop
134,134,2011,35,Eric Church,Springsteen,2011-01-01,0.692,0.809,-5.935,0.0255,0.1,9.77e-05,0.185,0.927,104.023,2,1,263387,71.0,contemporary country
135,135,2011,36,Lil Wayne,6 Foot 7 Foot,2011-08-29,0.364,0.752,-5.429,0.304,0.0007,0.0,0.318,0.606,79.119,2,1,248587,71.0,hip hop
136,136,2011,37,Christina Perri,Jar of Hearts,2011-05-10,0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,3,1,246587,71.0,pop
137,137,2011,38,Ed Sheeran,Lego House,2011-09-09,0.592,0.637,-8.48,0.0992,0.562,0.0,0.13,0.565,159.701,11,1,185093,71.0,pop
138,138,2011,39,OneRepublic,Good Life,2009-01-01,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,0.645,94.988,6,1,253307,71.0,rock
139,139,2011,40,Bruno Mars,The Lazy Song,2010-10-05,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,8,0,189109,71.0,pop
140,140,2011,41,Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),2011-06-17,0.595,0.912,-3.428,0.0884,0.0434,0.0,0.259,0.762,128.024,10,0,234453,71.0,pop
141,141,2011,42,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),2011-03-22,0.767,0.677,-6.128,0.184,0.0339,5.51e-06,0.144,0.538,146.155,11,0,222587,70.0,pop
142,142,2011,43,Jason Aldean,Dirt Road Anthem,2010-11-02,0.68,0.741,-5.055,0.0357,0.347,1.87e-06,0.117,0.635,127.024,2,1,229400,70.0,contemporary country
143,143,2011,44,Hot Chelle Rae,Tonight Tonight,2011-11-25,0.686,0.783,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978,4,1,200467,70.0,pop
144,144,2011,45,Kesha,We R Who We R,2010-11-19,0.736,0.817,-4.9,0.0407,0.00987,0.00167,0.117,0.653,119.95,8,1,204760,69.0,pop
145,145,2011,46,Dr. Dre,I Need A Doctor,2011-02-01,0.594,0.946,-4.521,0.452,0.0869,0.0,0.306,0.397,155.826,3,1,283733,69.0,hip hop
146,146,2011,47,Coldplay,Every Teardrop Is a Waterfall,2011-10-24,0.425,0.732,-6.883,0.0396,0.00194,0.0103,0.171,0.333,117.98,9,1,240796,69.0,pop
147,147,2011,48,Birdy,Skinny Love,2011-11-04,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,4,1,201080,69.0,pop
148,148,2011,49,M83,Midnight City,2011,0.526,0.712,-6.525,0.0356,0.0161,0.0,0.179,0.32,105.009,11,0,241440,69.0,indie
149,149,2011,50,Chris Brown,Yeah 3x,2011-03-22,0.705,0.882,-3.201,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,11,0,241667,69.0,pop
150,150,2011,51,Cobra Starship,You Make Me Feel... (feat. Sabi),2011-08-29,0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,7,0,215693,69.0,pop
151,151,2011,52,Lupe Fiasco,The Show Goes On,2011-03-04,0.591,0.889,-3.839,0.115,0.0189,0.0,0.155,0.65,143.067,7,1,239613,68.0,hip hop
152,152,2011,53,Jason Derulo,It Girl,2011-09-16,0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,1,0,192200,68.0,pop
153,153,2011,54,Lady Gaga,Born This Way,2011-01-01,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.494,123.907,11,1,260253,68.0,pop
154,154,2011,55,DJ Khaled,I'm On One,2011-01-01,0.413,0.807,-3.499,0.318,0.0536,0.0,0.631,0.438,149.33,11,0,296147,68.0,hip hop
155,155,2011,56,Diddy - Dirty Money,Coming Home,2010-01-01,0.392,0.839,-1.921,0.193,0.158,0.0,0.3,0.232,168.001,7,1,238693,67.0,pop
